frequency;response_type;amount;total_amount;rel_amount
1;Rec. Fwd.;144170;1059659;13.605320202065005
1;Open Rec. Resolver;15393;65497;23.50183977892117
1;Transp. Fwd.;12269;52904;23.191063057613793
1;Shielded Resolver;9574;31382;30.50793448473647
2;Rec. Fwd.;88402;1059659;8.342495085683224
2;Transp. Fwd.;6053;52904;11.441478905186752
2;Open Rec. Resolver;5722;65497;8.736277997465534
2;Shielded Resolver;5026;31382;16.01555031546747
3;Rec. Fwd.;66937;1059659;6.316843437369947
3;Open Rec. Resolver;3456;65497;5.276577553170374
3;Transp. Fwd.;2134;52904;4.0337214577347655
3;Shielded Resolver;1388;31382;4.422917596074183
4;Rec. Fwd.;56541;1059659;5.335773111916192
4;Open Rec. Resolver;2502;65497;3.8200222910973016
4;Transp. Fwd.;1468;52904;2.774837441403297
4;Shielded Resolver;1052;31382;3.3522401376585305
5;Rec. Fwd.;49085;1059659;4.63215053144455
5;Open Rec. Resolver;1932;65497;2.9497534238209386
5;Transp. Fwd.;1265;52904;2.3911235445334946
5;Shielded Resolver;795;31382;2.533299343572749
6;Rec. Fwd.;43608;1059659;4.115286143938757
6;Open Rec. Resolver;1622;65497;2.4764493030215124
6;Transp. Fwd.;993;52904;1.8769847270527749
6;Shielded Resolver;706;31382;2.2496972786947933
7;Rec. Fwd.;38546;1059659;3.6375852986668353
7;Open Rec. Resolver;1539;65497;2.349725941646182
7;Transp. Fwd.;1166;52904;2.2039921367004385
7;Shielded Resolver;702;31382;2.236951118475559
8;Rec. Fwd.;34993;1059659;3.30228875515614
8;Open Rec. Resolver;1313;65497;2.0046719697085362
8;Transp. Fwd.;901;52904;1.7030848329048842
8;Shielded Resolver;545;31382;1.7366643298706266
9;Rec. Fwd.;31673;1059659;2.988980417285183
9;Open Rec. Resolver;1248;65497;1.9054307830893018
9;Transp. Fwd.;786;52904;1.4857099652200212
9;Shielded Resolver;449;31382;1.4307564846090115
10;Rec. Fwd.;30603;1059659;2.8880045373087
10;Open Rec. Resolver;1182;65497;1.8046628089836174
10;Transp. Fwd.;877;52904;1.6577196431271737
10;Shielded Resolver;391;31382;1.2459371614301191
11;Rec. Fwd.;25613;1059659;2.417098330689401
11;Open Rec. Resolver;1049;65497;1.6016000732857991
11;Transp. Fwd.;651;52904;1.2305307727203993
11;Shielded Resolver;347;31382;1.1057293990185457
12;Rec. Fwd.;23391;1059659;2.2074082322709474
12;Open Rec. Resolver;956;65497;1.4596088370459714
12;Transp. Fwd.;742;52904;1.4025404506275518
12;Shielded Resolver;355;31382;1.1312217194570136
13;Rec. Fwd.;20899;1059659;1.9722382389051571
13;Open Rec. Resolver;921;65497;1.40617127502023
13;Transp. Fwd.;585;52904;1.105776500831695
13;Shielded Resolver;323;31382;1.029252437703142
14;Rec. Fwd.;20179;1059659;1.9042918523789258
14;Open Rec. Resolver;888;65497;1.3557872879673878
14;Transp. Fwd.;569;52904;1.075533040979888
14;Shielded Resolver;349;31382;1.1121024791281626
15;Rec. Fwd.;19417;1059659;1.832381926638664
15;Open Rec. Resolver;856;65497;1.3069300884009953
15;Transp. Fwd.;593;52904;1.1208982307575988
15;Shielded Resolver;270;31382;0.860365814798292
16;Rec. Fwd.;20039;1059659;1.8910800549988251
16;Open Rec. Resolver;970;65497;1.4809838618562683
16;Transp. Fwd.;654;52904;1.2362014214426131
16;Shielded Resolver;238;31382;0.7583965330444203
17;Rec. Fwd.;17626;1059659;1.6633652901546632
17;Open Rec. Resolver;870;65497;1.3283051132112922
17;Transp. Fwd.;469;52904;0.8865114169060941
17;Shielded Resolver;237;31382;0.7552099929896119
18;Rec. Fwd.;15951;1059659;1.5052955714998881
18;Open Rec. Resolver;925;65497;1.412278424966029
18;Transp. Fwd.;557;52904;1.0528504460910328
18;Shielded Resolver;234;31382;0.7456503728251864
19;Rec. Fwd.;15444;1059659;1.4574499909876668
19;Open Rec. Resolver;960;65497;1.4657159869917706
19;Transp. Fwd.;532;52904;1.0055950400725842
19;Shielded Resolver;206;31382;0.6564272512905488
20;Rec. Fwd.;15323;1059659;1.4460312232520085
20;Open Rec. Resolver;1063;65497;1.622975098096096
20;Transp. Fwd.;533;52904;1.0074852563133223
20;Shielded Resolver;218;31382;0.6946657319482505
21;Rec. Fwd.;15926;1059659;1.5029363219677274
21;Open Rec. Resolver;1163;65497;1.775653846741072
21;Transp. Fwd.;573;52904;1.08309390594284
21;Shielded Resolver;194;31382;0.6181887706328468
22;Rec. Fwd.;17001;1059659;1.6043840518506425
22;Open Rec. Resolver;1194;65497;1.8229842588210148
22;Transp. Fwd.;710;52904;1.3420535309239376
22;Shielded Resolver;237;31382;0.7552099929896119
23;Rec. Fwd.;17856;1059659;1.6850703858505425
23;Open Rec. Resolver;1332;65497;2.033680931951082
23;Transp. Fwd.;760;52904;1.4365643429608348
23;Shielded Resolver;258;31382;0.8221273341405901
24;Rec. Fwd.;22125;1059659;2.0879358359623237
24;Open Rec. Resolver;1814;65497;2.7695925004198667
24;Transp. Fwd.;959;52904;1.812717374867685
24;Shielded Resolver;302;31382;0.9623350965521635
25;Rec. Fwd.;38567;1059659;3.63956706827385
25;Open Rec. Resolver;3557;65497;5.4307830893018005
25;Transp. Fwd.;2026;52904;3.8295781037350674
25;Shielded Resolver;572;31382;1.8227009113504555
26;Rec. Fwd.;169744;1059659;16.018738103484235
26;Transp. Fwd.;14079;52904;26.61235445334946
26;Open Rec. Resolver;11070;65497;16.901537474998854
26;Shielded Resolver;6414;31382;20.438467911541647
